gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,curcd,at,bkvlps,ceq,dltt,dt,ni,pi,txt,costat
2435,20160430,2015,INDL,C,D,STD,115637209,USD,4183,7.8992,1562,1230,1230,1067,1489,422,A
2444,20061231,2006,INDL,C,D,STD,117043109,USD,4450.3,20.5993,1871.8,725.7,726.4,133.9,309.7,46.5,A
2444,20071231,2007,INDL,C,D,STD,117043109,USD,4365.6,21.6465,1892.9,727.4,728.2,111.6,92.7,13.1,A
2444,20081231,2008,INDL,C,D,STD,117043109,USD,3223.9,8.3184,729.9,728.5,729.8,-788.1,-632.2,155.9,A
2444,20091231,2009,INDL,C,D,STD,117043109,USD,2709.4,2.3827,210.3,839.4,841.2,-586.2,-684.7,-98.5,A
2444,20101231,2010,INDL,C,D,STD,117043109,USD,2678,0.794,70.4,828.4,830.1,-110.6,-84.7,25.9,A
2444,20111231,2011,INDL,C,D,STD,117043109,USD,2494,0.3468,30.9,690.4,691.9,71.9,89.3,17.4,A
2444,20121231,2012,INDL,C,D,STD,117043109,USD,2424.2,0.8669,77.7,563.6,570.1,50,181,33.6,A
2444,20131231,2013,INDL,C,D,STD,117043109,USD,2915.8,11.237,1038.4,453.4,459.8,769.2,229.6,-545.6,A
2444,20141231,2014,INDL,C,D,STD,117043109,USD,3134.4,12.6384,1171.5,450.2,455.7,245.7,287.9,93,A
2444,20151231,2015,INDL,C,D,STD,117043109,USD,3152.5,14.1092,1281.3,442.5,448.5,241.4,315.2,87.8,A
2504,20061231,2006,INDL,C,D,STD,909214306,USD,4037.9,-0.1859,-64.2,1049.1,1049.6,-278.7,-244.9,27.8,A
2504,20071231,2007,INDL,C,D,STD,909214306,USD,4137.1,1.0359,366.6,1058.3,1262.6,-79.1,26.9,82.6,A
2504,20081231,2008,INDL,C,D,STD,909214306,USD,2824.1,-3.9316,-1454.3,1059.1,1060.6,-130.1,-65.4,53.1,A
2504,20091231,2009,INDL,C,D,STD,909214306,USD,2956.9,-29.9835,-1268.3,845.9,911.7,189.3,234.6,41.6,A
2504,20101231,2010,INDL,C,D,STD,909214306,USD,3020.9,-22.0023,-937.3,823.2,824,236.1,222.9,58.8,A
2504,20111231,2011,INDL,C,D,STD,909214306,USD,2612.2,-36.0895,-1567.8,358.8,359.7,134,206,64.8,A
2504,20121231,2012,INDL,C,D,STD,909214306,USD,2420.4,-42.0623,-1849.9,210,210.3,145.6,254.1,97.3,A
2504,20131231,2013,INDL,C,D,STD,909214306,USD,2510,-21.5955,-950.2,210,210,108.5,219.4,99.3,A
2504,20141231,2014,INDL,C,D,STD,909214306,USD,2348.7,-29.3763,-1460,222.2,224,46.7,145.5,86.2,A
2504,20151231,2015,INDL,C,D,STD,909214306,USD,2143.2,-27.8497,-1389.7,235.5,246.5,-109.9,-58.8,44.4,A
2547,20061231,2006,FS,C,D,STD,125509109,USD,42399,,4330,1294,,,1731,572,A
2547,20061231,2006,INDL,C,D,STD,125509109,USD,42399,43.8908,4330,1294,1670,1155,1731,572,A
2547,20071231,2007,FS,C,D,STD,125509109,USD,40065,,4748,1790,,,1631,511,A
2547,20071231,2007,INDL,C,D,STD,125509109,USD,40065,16.9821,4748,1790,1793,1115,1631,511,A
2547,20081231,2008,FS,C,D,STD,125509109,USD,41406,,3592,2090,,,378,90,A
2547,20081231,2008,INDL,C,D,STD,125509109,USD,41406,13.2529,3592,2090,2092,292,378,90,A
2547,20091231,2009,FS,C,D,STD,125509109,USD,43013,,5417,2436,,,1898,594,A
2547,20091231,2009,INDL,C,D,STD,125509109,USD,43013,19.7515,5417,2436,2440,1302,1898,594,A
2547,20101231,2010,FS,C,D,STD,125509109,USD,45682,,6645,2288,,,1870,521,A
2547,20101231,2010,INDL,C,D,STD,125509109,USD,45682,24.4409,6645,2288,2740,1345,1870,521,A
2547,20111231,2011,FS,C,D,STD,125509109,USD,51047,,8344,4990,,,1968,640,A
2547,20111231,2011,INDL,C,D,STD,125509109,USD,51047,29.2225,8344,4990,4994,1327,1968,640,A
2547,20121231,2012,FS,C,D,STD,125509109,USD,53734,,9769,4986,,,2477,853,A
2547,20121231,2012,INDL,C,D,STD,125509109,USD,53734,34.1778,9769,4986,4987,1623,2477,853,A
2547,20131231,2013,FS,C,D,STD,125509109,USD,54336,,10567,5014,,,2176,698,A
2547,20131231,2013,INDL,C,D,STD,125509109,USD,54336,38.3521,10567,5014,5055,1476,2176,698,A
2547,20141231,2014,FS,C,D,STD,125509109,USD,55896,,10774,5005,,,3304,1210,A
2547,20141231,2014,INDL,C,D,STD,125509109,USD,55896,41.5542,10774,5005,5052,2102,3304,1210,A
2547,20151231,2015,FS,C,D,STD,125509109,USD,57088,,12035,5020,,,3327,1250,A
2547,20151231,2015,INDL,C,D,STD,125509109,USD,57088,46.912,12035,5020,5043,2094,3327,1250,A
2574,20061231,2006,INDL,C,D,STD,126408103,USD,25129,20.4265,8942,5362,5954,1310,1862,531,A
2574,20071231,2007,INDL,C,D,STD,126408103,USD,25534,21.2939,8685,6470,7255,1336,1932,706,A
2574,20081231,2008,INDL,C,D,STD,126408103,USD,26288,20.6081,8048,7512,7831,1365,2146,781,A
2574,20091231,2009,INDL,C,D,STD,126408103,USD,27036,22.4826,8846,7895,8008,1152,1761,624,A
2574,20101231,2010,INDL,C,D,STD,126408103,USD,28141,23.454,8686,8051,8664,1563,2546,983,A
2574,20111231,2011,INDL,C,D,STD,126408103,USD,29473,8.0589,8455,8734,9241,1822,2888,1066,A
2574,20121231,2012,INDL,C,D,STD,126408103,USD,30571,8.8076,8988,9052,9832,1859,2964,1105,A
2574,20131231,2013,INDL,C,D,STD,126408103,USD,31782,10.3909,10483,9022,9555,1864,2922,1058,A
2574,20141231,2014,INDL,C,D,STD,126408103,USD,33053,11.2466,11152,9514,9742,1927,3044,1117,A
2574,20151231,2015,INDL,C,D,STD,126408103,USD,35039,12.0682,11652,10683,10703,1968,3138,1170,A
2663,20060731,2006,INDL,C,D,STD,134429109,USD,7870,4.398,1768,2116,2722,766,1001,246,A
2663,20070731,2007,INDL,C,D,STD,134429109,USD,6445,3.4169,1295,2074,2074,854,1149,326,A
2663,20080731,2008,INDL,C,D,STD,134429109,USD,6474,3.7022,1318,1633,1933,1165,939,268,A
2663,20090731,2009,INDL,C,D,STD,134429109,USD,6056,2.1224,728,2246,2246,736,1079,347,A
2663,20100731,2010,INDL,C,D,STD,134429109,USD,6276,2.756,926,1945,2645,844,1242,398,A
2663,20110731,2011,INDL,C,D,STD,134429109,USD,6862,3.4,1088,2427,2427,805,1168,366,A
2663,20120731,2012,INDL,C,D,STD,134429109,USD,6530,2.8782,898,2004,2404,774,1106,342,A
2663,20130731,2013,INDL,C,D,STD,134429109,USD,8323,3.9006,1217,2544,3246,458,955,275,A
2663,20140731,2014,INDL,C,D,STD,134429109,USD,8113,5.1597,1615,2244,2545,818,1073,347,A
2663,20150731,2015,INDL,C,D,STD,134429109,USD,8089,4.4516,1380,2552,2553,691,990,299,A
2710,20070228,2006,INDL,C,D,STD,21036P108,USD,9438.2,14.5507,3417.5,3714.9,4032.2,331.9,535.3,203.4,A
2710,20080229,2007,INDL,C,D,STD,21036P108,USD,10052.8,12.802,2765.9,4648.7,4878,-613.3,-440.6,172.7,A
2710,20090228,2008,INDL,C,D,STD,21036P108,USD,8036.5,8.708,1908.3,3971.1,4206.3,-301.4,-106.8,194.6,A
2710,20100228,2009,INDL,C,D,STD,21036P108,USD,8094.3,11.5923,2576.3,3277.1,3464.3,99.3,259.3,160,A
2710,20110228,2010,INDL,C,D,STD,21036P108,USD,7167.6,12.085,2551.9,3136.7,3152.6,559.5,551,-8.5,A
2710,20120229,2011,INDL,C,D,STD,21036P108,USD,7109.9,13.7707,2676,2421.4,2751.6,445,534,89,A
2710,20130228,2012,INDL,C,D,STD,21036P108,USD,7638.1,15.4797,2860.3,3277.8,3305.4,387.8,516.4,128.6,A
2710,20140228,2013,INDL,C,D,STD,21036P108,USD,14302.1,26.0161,4981.3,6373.3,6963.3,1943.1,2202.3,259.2,A
